"","T1a","T1b","T1c","T2","T2a","T2b","T2c","T3a","T3b","T4"
"T1a","1 ( NaN )","1.02 ( 1 )","0.9 ( 0.2938 )","0.87 ( 0.5714 )","0.9 ( 0.5532 )","0.9 ( 0.5532 )","0.86 ( 0.1579 )","0.89 ( 0.375 )","0.9 ( 0.7059 )","0.8 ( 0.6667 )"
"T1b","0.98 ( 1 )","1 ( 1 )","0.88 ( 0.5357 )","0.86 ( 0.6429 )","0.88 ( 0.5745 )","0.89 ( 0.6064 )","0.84 ( 0.3563 )","0.87 ( 0.4583 )","0.88 ( 0.4706 )","0.78 ( 0.6667 )"
"T1c","1.12 ( 0.2938 )","1.14 ( 0.5357 )","1 ( 1 )","0.97 ( 0.5314 )","1 ( 0.8606 )","1.01 ( 0.7292 )","0.95 ( 0.0318 )","0.99 ( 0.7111 )","1 ( 0.9331 )","0.89 ( 0.1519 )"
"T2","1.15 ( 0.5714 )","1.17 ( 0.6429 )","1.03 ( 0.5314 )","1 ( 1 )","1.03 ( 0.5473 )","1.03 ( 0.5662 )","0.98 ( 0.8243 )","1.02 ( 0.7941 )","1.03 ( 0.7468 )","0.91 ( 0.6429 )"
"T2a","1.12 ( 0.5532 )","1.13 ( 0.5745 )","1 ( 0.8606 )","0.97 ( 0.5473 )","1 ( 1 )","1.01 ( 0.8006 )","0.95 ( 0.0809 )","0.99 ( 0.6533 )","1 ( 0.8298 )","0.89 ( 0.2553 )"
"T2b","1.11 ( 0.5532 )","1.13 ( 0.6064 )","0.99 ( 0.7292 )","0.97 ( 0.5662 )","0.99 ( 0.8006 )","1 ( 1 )","0.95 ( 0.0717 )","0.98 ( 0.5948 )","0.99 ( 0.8547 )","0.88 ( 0.2553 )"
"T2c","1.17 ( 0.1579 )","1.19 ( 0.3563 )","1.05 ( 0.0318 )","1.02 ( 0.8243 )","1.05 ( 0.0809 )","1.05 ( 0.0717 )","1 ( 1 )","1.04 ( 0.1931 )","1.05 ( 0.3219 )","0.93 ( 0.3563 )"
"T3a","1.13 ( 0.375 )","1.15 ( 0.4583 )","1.01 ( 0.7111 )","0.98 ( 0.7941 )","1.01 ( 0.6533 )","1.02 ( 0.5948 )","0.96 ( 0.1931 )","1 ( 1 )","1.01 ( 0.8329 )","0.9 ( 0.2121 )"
"T3b","1.12 ( 0.7059 )","1.14 ( 0.4706 )","1 ( 0.9331 )","0.97 ( 0.7468 )","1 ( 0.8298 )","1.01 ( 0.8547 )","0.95 ( 0.3219 )","0.99 ( 0.8329 )","1 ( 1 )","0.89 ( 0.3268 )"
"T4","1.26 ( 0.6667 )","1.28 ( 0.6667 )","1.13 ( 0.1519 )","1.1 ( 0.6429 )","1.13 ( 0.2553 )","1.13 ( 0.2553 )","1.07 ( 0.3563 )","1.12 ( 0.2121 )","1.13 ( 0.3268 )","1 ( 1 )"
